age,female,hisp,education,earnings,hours,week,union,uncov,region,race,marital
52,0,0,12,146000,45,52,0,0,1,1,1
38,1,0,8,50000,45,52,0,0,1,1,7
37,1,0,5,22000,45,52,0,0,1,1,1
38,0,0,14,32000,40,51,0,0,1,1,1
41,1,0,13,47000,40,52,0,0,1,1,1
42,0,0,13,161525,50,52,1,0,1,1,1
66,1,0,13,33000,40,52,0,0,1,1,5
51,0,0,16,37000,44,52,0,0,1,1,1
49,0,0,16,37000,44,52,0,0,1,1,3
33,0,0,16,80000,40,52,0,0,1,1,2
52,1,0,14,32000,40,52,0,0,1,1,1
55,0,0,14,46000,40,52,0,0,1,1,5
51,0,0,12,62000,40,52,0,0,1,1,5
52,0,0,11,33000,45,52,0,0,1,1,1
44,0,0,13,26040,40,52,0,0,1,1,1
59,0,0,16,35000,60,52,1,0,1,1,1
35,1,0,14,48000,36,52,1,0,1,1,1
31,0,0,16,26000,40,52,0,0,1,1,1
66,1,0,13,32000,40,52,0,0,1,1,1
44,0,0,14,80000,40,52,0,0,1,1,1
41,1,0,14,50000,40,52,0,0,1,1,1
46,0,0,16,80000,45,52,0,0,1,1,1
45,1,0,14,90000,45,52,0,0,1,1,1
24,0,0,13,24000,45,52,0,0,1,1,7
59,1,0,12,30000,40,52,0,0,1,1,7
57,0,0,12,32000,40,52,0,0,1,1,1
